timestamp,plot,type,chamber,status,chamber_block,counter,cos.1.pmol_mol,co2.1.umol_mol,co2.2.umol_mol,h2o.mmol_mol,co.nmol_mol,cos.2.pmol_mol,cos.mean.pmol_mol,co2.mean.umol_mol,cos.mean_sd.pmol_mol,co2.mean_sd.umol_mol,temp.air.ambient.c,par.ambient.umol_m2_s1,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol,P.irga.kPa,par.chb_irr1.umol_m2_s1,par.chb_con2.umol_m2_s1,par.chs_irr3.umol_m2_s1,par.chs_con4.umol_m2_s1,par.chs_irr5.umol_m2_s1,par.chs_con6.umol_m2_s1,temp.leaf.chb_irr1.c,temp.air.chb_irr1.c,temp.leaf.chb_con2.c,temp.air.chb_con2.c,temp.laserbox.c,pump.flow.chb_irr1.slpm,pump.flow.chb_con2.slpm,pump.flow.chs_irr3.slpm,pump.flow.chs_con4.slpm,pump.flow.chs_irr5.slpm,pump.flow.chs_con6.slpm,day_night,par.current.chamber.umol_m2_s1,temp.leaf.current.chamber.c,temp.air.current.chamber.c,pump.flow.current.chamber.slpm,leaf.area.m2,flag,h2o.calibrated.mmol_mol,co2.calibrated.umol_mol
2022-01-12 13:25:39,con,branch,chb_con2,oc,94,-20,375.9985049355635,421.84407217584277,421.8385204216422,3.692149,17.22581,376.00141177680285,375.9999583561832,421.84129629874246,0.00205544715216801,0.003925683042692071,17.329705,167.54694999999998,3.817932,412.25955,,0.0,377.080355,,,,,17.867317,17.599318,17.4811215,17.5447985,21.1375185,8.4608095,4.138365,,,,,1,377.080355,17.4811215,17.5447985,4.138365,,0,,
2022-01-12 13:25:40,con,branch,chb_con2,oc,94,-19,371.0519420071291,421.83202591672836,421.8285691641129,3.686774,17.34552,371.0565224842336,371.05423224568136,421.8302975404206,0.003238886421639489,0.0024442932152884027,17.35527,167.0,3.817932,411.905,93.9409,0.0,376.73786666666666,,,,,17.874186666666667,17.60358666666667,17.48366,17.548846666666666,21.136986666666665,8.44172,4.087232,,,,,1,376.73786666666666,17.48366,17.548846666666666,4.087232,,0,,
2022-01-12 13:25:41,con,branch,chb_con2,oc,94,-18,366.789103372635,421.67343429673474,421.67228204586286,3.684901,17.35016,366.809627433507,366.79936540307096,421.6728581712988,0.014512702620070943,0.0008147644051363286,17.384835000000002,166.8177,3.8042965,412.46405,,0.0,376.3953783333333,,,,,17.881056333333333,17.607855333333333,17.4861985,17.552894833333333,21.13645483333333,8.445810999999999,4.1127985,,,,,1,376.3953783333333,17.4861985,17.552894833333333,4.1127985,,0,,
2022-01-12 13:25:42,con,branch,chb_con2,oc,94,-17,366.77060529202083,421.67343429673474,421.58429197928774,3.701224,17.03685,366.809627433507,366.7901163627639,421.62886313801124,0.027592820861282605,0.06303313715745701,17.4144,166.6354,3.790661,413.0231,93.9409,0.0,376.05289,,,,,17.887926,17.612124,17.488737,17.556943,21.135923,8.449902,4.138365,,,,,1,376.05289,17.488737,17.556943,4.138365,,0,,
2022-01-12 13:25:43,con,branch,chb_con2,oc,94,-16,371.87008568686593,421.6027279932369,421.60461349466345,3.704177,17.33959,371.86612181244857,371.8681037496573,421.60367074395015,0.002802882480291223,0.0013332508446552626,17.419040000000003,167.36464999999998,3.7974785,413.5822,,0.0,375.71040166666666,,,,,17.894795666666667,17.616392666666666,17.4912755,17.560991166666668,21.135391166666665,8.452629,4.121321,,,,,1,375.71040166666666,17.4912755,17.560991166666668,4.121321,,0,,
2022-01-12 13:25:44,con,branch,chb_con2,oc,94,-15,369.782533246504,421.6027279932369,421.55527620733386,3.716335,17.60146,371.86612181244857,370.82432752947625,421.5790021002854,1.473319604182167,0.03355347959144874,17.42368,168.0939,3.804296,414.1413,93.9409,0.0,375.3679133333333,,,,,17.901665333333334,17.620661333333334,17.493814,17.56503933333333,21.13485933333333,8.455356,4.104277,,,,,1,375.3679133333333,17.493814,17.56503933333333,4.104277,,0,,
2022-01-12 13:25:45,con,branch,chb_con2,oc,94,-14,369.6974420756787,421.55527620733386,421.6223162580577,3.716952,17.40063,369.782533246504,369.73998766109133,421.5887962326958,0.06016854390967815,0.04740447447792225,17.46487,169.00545,3.811114,413.2686,,0.0,375.025425,,,,,17.908535,17.62493,17.4963525,17.5690875,21.134327499999998,8.46081,4.1417745,,,,,1,375.025425,17.4963525,17.5690875,4.1417745,,0,,
2022-01-12 13:25:46,con,branch,chb_con2,oc,94,-13,372.79463737318343,421.6223162580577,421.48855040684776,3.714562,17.44963,369.6974420756787,371.24603972443106,421.5554333324527,2.190047797524698,0.09458674048174198,17.50606,169.917,3.817932,412.3959,93.92999,0.0,374.68293666666665,,,,,17.915404666666664,17.629198666666667,17.498891,17.573135666666666,21.133795666666664,8.466264,4.179272,,,,,1,374.68293666666665,17.498891,17.573135666666666,4.179272,,0,,
2022-01-12 13:25:47,con,branch,chb_con2,oc,94,-12,371.65603646833017,421.48855040684776,421.42444335834307,3.719216,17.70687,372.79463737318343,372.22533692075683,421.4564968825954,0.8051124208868811,0.045330528719524955,17.532025,169.7347,3.817932,412.45045,,0.0,374.3404483333333,,,,,17.92227433333333,17.633467333333336,17.5014295,17.577183833333333,21.13326383333333,8.44922,4.1741585,,,,,1,374.3404483333333,17.5014295,17.577183833333333,4.1741585,,0,,
2022-01-12 13:25:48,con,branch,chb_con2,oc,94,-11,368.9933698930628,421.42444335834307,421.4623628870338,3.724362,17.57441,371.65603646833017,370.3247031806965,421.44340312268844,1.8827895914103352,0.026813155876617353,17.55799,169.5524,3.817932,412.505,93.92999,0.0,373.99796,,,,,17.929143999999997,17.637736,17.503968,17.581232,21.132731999999997,8.432176,4.169045,,,,,1,373.99796,17.503968,17.581232,4.169045,,0,,
2022-01-12 13:25:49,con,branch,chb_con2,oc,94,-10,368.279608239649,421.4623628870338,421.5566379583642,3.740219,17.65203,368.9933698930628,368.6364890663559,421.50950042269903,0.5047057052797984,0.06666254223457188,17.55314,168.64085,3.817932,413.0913,,0.0,373.65547166666664,,,,,17.936013666666664,17.64200466666667,17.5065065,17.585280166666667,21.132200166666664,8.44922,4.148592,,,,,1,373.65547166666664,17.5065065,17.585280166666667,4.148592,,0,,
2022-01-12 13:25:50,con,branch,chb_con2,oc,94,-9,376.5184771730189,421.6275537620205,421.63331501637964,3.74945,17.06552,376.5042953112147,376.5113862421168,421.6304343892001,0.01002809065157283,0.004073822025480672,17.54829,167.7293,3.817932,413.6776,93.9409,0.0,373.31298333333336,,,,,17.94288333333333,17.646273333333333,17.509045,17.589328333333334,21.13166833333333,8.466264,4.128139,,,,,1,373.31298333333336,17.509045,17.589328333333334,4.128139,,0,,
2022-01-12 13:25:51,con,branch,chb_con2,oc,94,-8,370.6983644091034,421.60890824791295,421.62273525837475,3.771687,17.2224,370.6877940773238,370.6930792432136,421.61582175314385,0.007474353280749799,0.009777172861073222,17.586285,166.8177,3.8247495000000002,413.1731,,0.0,372.970495,,,,,17.949752999999998,17.650542,17.5115835,17.593376499999998,21.1311365,8.464218500000001,4.170749499999999,,,,,1,372.970495,17.5115835,17.593376499999998,4.170749499999999,,0,,
2022-01-12 13:25:52,con,branch,chb_con2,oc,94,-7,366.66974670962435,421.589319983092,421.60712749656557,3.800395,17.31157,366.6557410200164,366.6627438648204,421.59822373982877,0.009903518096959319,0.012591813533212542,17.62428,165.9061,3.831567,412.6686,93.9409,0.0,372.6280066666667,,,,,17.956622666666664,17.654810666666666,17.514122,17.597424666666665,21.130604666666667,8.462173,4.21336,,,,,1,372.6280066666667,17.514122,17.597424666666665,4.21336,,0,,
2022-01-12 13:25:53,con,branch,chb_con2,oc,94,-6,367.78650226213324,421.589319983092,421.59738573919475,3.810984,17.71612,366.6557410200164,367.22112164107483,421.5933528611434,0.799568942203726,0.0057033508356327456,17.590505,165.54149999999998,3.8383845,412.6686,,0.0,372.28551833333336,,,,,17.96349233333333,17.659079333333334,17.5166605,17.601472833333332,21.130072833333333,8.461491500000001,4.165635999999999,,,,,1,372.28551833333336,17.5166605,17.601472833333332,4.165635999999999,,0,,
2022-01-12 13:25:54,con,branch,chb_con2,oc,94,-5,367.48110775980257,421.59738573919475,421.6435805241467,3.801007,17.11849,367.78650226213324,367.6338050109679,421.62048313167077,0.21594652353510838,0.03266464569499851,17.55673,165.1769,3.845202,412.6686,93.9409,0.0,371.94303,,,,,17.970361999999998,17.663348000000003,17.519199,17.605521,21.129541,8.46081,4.117912,,,,,1,371.94303,17.519199,17.605521,4.117912,,0,,
2022-01-12 13:25:55,con,branch,chb_con2,oc,94,-4,367.95589182890046,421.64347577406744,421.5597804607419,3.813369,17.27552,367.48119584590074,367.7185438374006,421.60162811740463,0.3356607485811157,0.059181523606038657,17.5451,165.54149999999998,3.858838,412.4777,,0.0,371.6005416666667,,,,,17.977231666666665,17.667616666666667,17.5217375,17.609569166666667,21.129009166666666,8.4710365,4.141774,,,,,1,371.6005416666667,17.5217375,17.609569166666667,4.141774,,0,,
2022-01-12 13:25:56,con,branch,chb_con2,oc,94,-3,365.75259425555254,421.5597804607419,421.56575121525947,3.809847,17.52226,367.95589182890046,366.85424304222647,421.5627658380007,1.5579666550861822,0.0042219610081888825,17.53347,165.9061,3.872474,412.2868,93.9409,0.0,371.25805333333335,,,,,17.98410133333333,17.671885333333336,17.524276,17.613617333333334,21.128477333333333,8.481263,4.165636,,,,,1,371.25805333333335,17.524276,17.613617333333334,4.165636,,0,,
2022-01-12 13:25:57,con,branch,chb_con2,oc,94,-2,365.6797470523718,421.56575121525947,421.5694174680334,3.828312,17.45805,365.75259425555254,365.7161706539622,421.56758434164647,0.05151075135957745,0.0025924321979966143,17.532845000000002,165.17685,3.872474,412.34135000000003,,0.0,370.915565,,,,,17.990971,17.676154,17.5268145,17.617665499999998,21.1279455,8.457401,4.111094,,,,,1,370.915565,17.5268145,17.617665499999998,4.111094,,0,,
2022-01-12 13:25:58,con,branch,chb_con2,oc,94,-1,368.97954037565125,421.5694174680334,421.5666939659728,3.842406,17.12858,365.6797470523718,367.3296437140115,421.56805571700306,2.3333062354049994,0.0019258067756488856,17.53222,164.4476,3.872474,412.3959,93.92999,0.0,370.5730766666667,,,,,17.997840666666665,17.68042266666667,17.529353,17.621713666666665,21.127413666666666,8.433539,4.056552,,,,,1,370.5730766666667,17.529353,17.621713666666665,4.056552,,0,,
2022-01-12 13:25:59,con,branch,chb_con2,oc,94,0,367.0733572114067,421.5666939659728,421.6606547870655,3.846046,17.50305,368.97954037565125,368.02644879352897,421.61367437651916,1.3478750416209637,0.06644033376050956,17.540255000000002,164.4476,3.872474,412.53225,,0.0,370.23058833333334,,,,,18.004710333333332,17.684691333333333,17.5318915,17.625761833333332,21.126881833333332,8.4471745,4.1042760000000005,,,,,1,370.23058833333334,17.5318915,17.625761833333332,4.1042760000000005,,0,,
