timestamp,RECORD,TcRafat_Avg(1),TcRafat_Avg(2),TcRafat_Avg(3),TcRafat_Avg(4),TcRafat_Avg(5),TcRafat_Avg(6)
2022-01-12 02:04:00,58139,8.743458,8.517892,8.354052,8.26344,,20.71732
2022-01-12 02:05:00,58140,8.649642,8.379719,8.380309,8.239132,,20.71635
2022-01-12 02:06:00,58141,8.732394,8.460217,8.423591,8.294946,,20.73688
2022-01-12 02:07:00,58142,8.476974,8.228639,8.488294,8.404252,,20.73971
2022-01-12 02:08:00,58143,8.382847,8.165296,8.539325,8.468973,,20.74147
2022-01-12 02:09:00,58144,8.370919,8.173507,8.644583,8.573388,,20.75446
2022-01-12 02:10:00,58145,8.366784,8.17401,8.719115,8.682055,,20.76013
2022-01-12 02:11:00,58146,8.382971,8.175951,8.766626,8.765952,,20.75397
2022-01-12 02:12:00,58147,8.38997,8.173319,8.786865,8.768606,,20.76537
2022-01-12 02:13:00,58148,8.410498,8.208464,8.760938,8.725271,,20.77156
2022-01-12 02:14:00,58149,8.441705,8.275602,8.721641,8.643659,,20.77258
2022-01-12 02:15:00,58150,9.035077,8.710103,8.57688,8.530082,,20.76524
2022-01-12 02:16:00,58151,8.932399,8.634034,8.502328,8.400678,,20.76633
2022-01-12 02:17:00,58152,8.850898,8.6329,8.415421,8.301385,,20.74125
2022-01-12 02:18:00,58153,8.813174,8.513662,8.386652,8.239801,,20.77388
2022-01-12 02:19:00,58154,8.817628,8.573571,8.306668,8.231163,,20.74632
2022-01-12 02:20:00,58155,8.744688,8.470926,8.38937,8.282412,,20.77533
2022-01-12 02:21:00,58156,8.570336,8.269502,8.16276,8.025537,,20.78377
2022-01-12 02:22:00,58157,8.660899,8.333565,8.134775,7.900897,,20.78223
2022-01-12 02:23:00,58158,8.420066,8.190612,8.118777,7.968191,,20.77445
2022-01-12 02:24:00,58159,8.392244,8.158697,8.132603,8.013871,,20.76516
2022-01-12 02:25:00,58160,8.17841,8.004223,8.023644,7.882336,,20.76863
2022-01-12 02:26:00,58161,7.922568,7.864579,7.888579,7.690072,,20.75674
2022-01-12 02:27:00,58162,8.038256,7.7863,7.929986,7.858732,,20.77836
2022-01-12 02:28:00,58163,8.047374,7.864824,7.92102,7.876935,,20.76778
2022-01-12 02:29:00,58164,7.94274,7.711273,7.867827,7.85473,,20.74191
2022-01-12 02:30:00,58165,7.918624,7.619214,7.865304,7.832413,,20.74991
2022-01-12 02:31:00,58166,7.81755,7.625853,7.847489,7.796046,,20.74788
2022-01-12 02:32:00,58167,8.308889,8.087321,7.823199,7.80423,,20.74479
2022-01-12 02:33:00,58168,8.08392,7.761241,7.825648,7.786011,,20.75184
2022-01-12 02:34:00,58169,7.961515,7.667545,7.828527,7.790413,,20.76016
2022-01-12 02:35:00,58170,8.341196,7.997488,8.09698,7.960246,,20.74942
2022-01-12 02:36:00,58171,8.432662,8.104301,8.369908,8.239858,,20.7681
2022-01-12 02:37:00,58172,8.533036,8.245759,8.565596,8.522783,,20.7586
2022-01-12 02:38:00,58173,8.818168,8.471175,8.600887,8.598816,,20.76
2022-01-12 02:39:00,58174,8.795753,8.53301,8.558097,8.490727,,20.76334
2022-01-12 02:40:00,58175,8.952579,8.680264,8.687389,8.616649,,20.76179
2022-01-12 02:41:00,58176,8.878658,8.621823,8.688277,8.679297,,20.76445
2022-01-12 02:42:00,58177,8.801136,8.547193,8.655638,8.636125,,20.75536
2022-01-12 02:43:00,58178,8.852366,8.598382,8.559455,8.540042,,20.73141
2022-01-12 02:44:00,58179,8.973104,8.702007,8.506456,8.453797,,20.73946
2022-01-12 02:45:00,58180,8.738297,8.518556,8.447317,8.324694,,20.74359
2022-01-12 02:46:00,58181,8.651383,8.41141,8.36138,8.262488,,20.73483
2022-01-12 02:47:00,58182,8.587255,8.289487,8.437341,8.337529,,20.73106
2022-01-12 02:48:00,58183,8.494093,8.175176,8.308136,8.186139,,20.70743
2022-01-12 02:49:00,58184,8.718726,8.312747,8.425696,8.299113,,20.7431
2022-01-12 02:50:00,58185,8.950903,8.558048,8.408513,8.263928,,20.73259
2022-01-12 02:51:00,58186,8.870193,8.533472,8.496762,8.422406,,20.74264
2022-01-12 02:52:00,58187,8.969622,8.585837,8.459026,8.402604,,20.73728
2022-01-12 02:53:00,58188,8.992081,8.583589,8.460893,8.430965,,20.76256
2022-01-12 02:54:00,58189,8.798906,8.457913,8.500795,8.453628,,20.76649
2022-01-12 02:55:00,58190,8.345098,8.008257,8.361856,8.228374,,20.77599
2022-01-12 02:56:00,58191,8.46486,8.07949,8.274591,8.087989,,20.75559
2022-01-12 02:57:00,58192,8.399316,8.026534,8.387476,8.24957,,20.73639
2022-01-12 02:58:00,58193,8.574081,8.13444,8.362383,8.156266,,20.74715
2022-01-12 02:59:00,58194,8.482297,8.060635,8.205153,8.045946,,20.70068
2022-01-12 03:00:00,58195,8.606973,8.14214,8.263312,8.090858,,20.71351
2022-01-12 03:03:00,58198,8.618497,8.325658,8.370611,8.291077,,20.73386
